Shadow Dancer	1996
Soul Survivor	1995
Species	1995
Catwoman	2004
Manna From Heaven	2003
What Ever Happened to Aunt Alice?	1969
Where Eagles Dare	1969
Where It's At	1969
Agent Red	2000
.com for Murder	2003
Whirlpool	1970
Wilbur and the Baby Factory	1970
The Wild Bunch	1969
Winning	1969
Shadrach	1998
High Fidelity: The Adventures of the Guarneri String Quartet	1988
High Hopes	1989
High Spirits	1988
High Tide	1980
Message in a Cell Phone	2000
Everything for Sale	1987
Hit List	1989
Hollywood Chainsaw Hookers	1988
Hollywood Cop	1987
Homeboy	1988
The Stars Fell on Henrietta	1995
No Such Thing	2002
Steel Frontier	1995
Young Billy Young	1969
Masti	2004
Z	1969
Hot to Trot	1988
Grave of the Fireflies	1988
Reeseville	2004
The Joke	1969
Tequila Body Shots	1999
All About the Benjamins	2002
The House on Carroll Street	1988
Stonewall	1996
Storybook	1995
Strange Days	1995
Three to Tango	1999
Toto Che Visse Due Volte	1998
I Love N.Y.	1987
Street Law	1995
I'm Gonna Git You Sucka	1988
Stripteaser	1995
Hitman's Run	1999
Stuart Saves His Family	1995
Illegally Yours	1988
Sudden Death	1995
Suite 16	1995
Imagine: John Lennon	1988
In a Shallow Grave	1988
Glue	2006
Sweet Nothing	1996
Swimming with Sharks	1994
Intruder	1988
The Invisible Kid	1988
Iron Eagle II	1988
It Takes Two	1988
Jack's Back	1987
Jakarta	1988
Jane White is Sick and Twisted	2001
Jerico	1990
The Jimmy Show	2002
Kiss of the Dragon	2001
The Other Brother	2001
55 Days at Peking	1963
8 1/2	1963
All the Way Home	1963
Matando Cabos	2004
Another Country	1984
Antonio Gaudi	1984
Als Twee Druppels Water	1963
America, America	1963
Peacock	2005
Bachelor Party	1984
The Balcony	1963
Lost Embrace	2005
Bruno	2000
Sons of Provo	2005
The Bay Boy	1984
The Bear	1984
Duelist	2005
Beat Street	1984
Bedroom Eyes	1986
Billy Liar	1963
The Birds	1963
Whatever It Takes	2000
Io amo Andrea	2000
Best Defense	1984
Oliver Twist	2005
Superstar in a Housedress: The Life and Legend of Jackie Curtis	2004
Beverly Hills Cop	1984
Bio Hazard	1985
Birdy	1984
A Boy Ten Feet Tall	1963
Ator: The Fighting Eagle	1982
Blame It on the Night	1984
Bye Bye Birdie	1963
Cairo	1963
Call Me Bwana	1963
Bloodbath at the House of Death	1983
Body Double	1984
Body Rock	1984
Bolero	1984
Wedding Crashers	2005
Willenbrock	2005
The Bostonians	1984
The Bounty	1984
The Boy Who Had Everything	1985
Breakin'	1984
Circuit	2001
Foreign Correspondents	1999
The Closer You Get	2000
Tonight for Sure	1961
Mood Swingers	2000
Deeply	2000
Idiocracy	2006
Dirty Love	2005
Por La Libre	2000
Tales from the Hood	1995
Flying Warriors	2000
An Everlasting Piece	2000
Tank Girl	1995
Tarantella	1995
The Jigsaw Murders	1988
North Star	1996
Johnny Be Good	1988
Ella Enchanted	2004
Holy Smoke	1999
Judgment in Berlin	1988
Diamond's Edge	1990
Kansas	1988
Terminal Rush	1996
The Black Dahlia	2006
Killer Klowns from Outer Space	1988
Things to Do in Denver...When You're Dead	1995
Midnight Cop	1989
Three Wishes	1995
The Tie That Binds	1995
Animal Love	1996
The Kiss	1988
The Time Machine	2002
Timemaster	1995
Sequins	2005
The Act of the Heart	1970
Adam's Woman	1970
The Adventurers	1970
The Adventures of Gerard	1970
Airport	1970
To Die For	1995
To the Limit	1995
A Short Film About Love	1988
A Short Film About Killing	1987
The Hurricane	1999
The Toilers and the Wayfarers	1995
Alex in Wonderland	1970
Tokyo Fist	1995
Karhozat	1988
Tommy Boy	1995
Top Dog	1995
The American Soldier	1970
And Soon the Darkness	1970
Lady in White	1988
The Lair of the White Worm	1988
The Land Before Time	1988
Vanity Fair	2004
Last Man Standing	1988
Last Rites	1988
The Last Temptation of Christ	1988
Blind Dating	2007
Paper Clips	2004
Captain Newman, M.D.	1964
Les Carabiniers	1963
The Cardinal	1963
The Perfect Man	2005
The Caretakers	1963
Memento Mori	1999
The Ceremony	1964
Black Peter	1964
Charade	1963
A Child Is Waiting	1963
Cleopatra	1963
Scary Movie 3	2003
Snake Island	2002
Come Blow Your Horn	1963
Come Fly With Me	1963
The Comedy of Terrors	1964
I Compagni	1963
Second Coming	2001
The Cool World	1964
The Courtship of Eddie's Father	1963
Five Miles to Midnight	1962
Beah: A Black Woman Speaks	2003
Critic's Choice	1963
Family Diary	1962
Satan's Little Helper	2004
In the Winter Dark	1998
Shinobi	2006
Super	1983
Dementia 13	1963
Second Skin	2000
Typhoon	2006
Caterina in the Big City	2005
A Room for Romeo Brass	2000
Welcome to Dongmakgol	2005
Ne Goryuy!	1968
Gripsholm	2000
Shadow Boxers	1999
Last Chance	1999
Enough	2002
Innocent Voices	2005
Suckers	1999
800 Bullets	2004
Total Eclipse	1997
Toy Story	2009
The Angel Levine	1970
Five Savage Men	1971
The Anonymous Venetian	1970
Tracks of a Killer	1996
The Brandon Teena Story	1998
Days and Nights in the Forest	1970
Get Your Stuff	2000
The Lawless Land	1988
The Aristocats	1970
The Rage: Carrie 2	1999
Tromeo & Juliet	1996
License to Drive	1988
True Crime	1996
Even Dwarfs Started Small	1970
How High	2001
Light Years	1988
Darwin's Nightmare	2004
David & Layla	2009
The Baby Maker	1970
The Ballad of Cable Hogue	1970
Little Dorrit	1988
Little Nikita	1988
Twisted Love	1995
Two Bits	1995
Lone Wolf	1988
Barquero	1970
Le Bateau Sur L'herbe	1970
Beast of Blood	1970
Beg	1971
Restless	1970
Beneath the Planet of the Apes	1970
Beyond the Valley of the Dolls	1970
Lucky Stiff	1988
Lurkers	1988
Desperation Boulevard	1998
MAC and Me	1988
Mad About You	1988
Unter Verschluss	1980
Madame Sousatzka	1988
Made in USA	1988
Under Siege 2: Dark Territory	1995
Under the Hula Moon	1995
Bloody Mama	1970
The Boatniks	1970
Bombay Talkie	1970
Borsalino	1970
The Boys in the Band	1970
Little Vera	1989
A French Woman	1995
Unstrung Heroes	1995
Brewster McCloud	1970
Soul Assassin	2001
Maniac Cop	1988
Stoked: The Rise and Fall of Gator	2003
Tadpole	2002
Married to the Mob	1988
New World Disorder	1999
Flushed Away	2006
Masquerade	1988
Saving Silverman	2001
Say It Isn't So	2001
Rhythm of the Saints	2003
Safecracker	1991
Sur le seuil	2003
The Weeping Willow	2007
Sidewalks of New York	2001
The Theory of the Leisure Class	2001
Somne	2005
The Other Sister	1999
Parting Shots	1998
The Tavern	1999
Redboy 13	1997
The Wayward Cloud	2007
Requiem	1998
Witchboard: Bunshinsaba	2004
U-Carmen	2007
Love Beat the Hell Outta Me	2000
Two Family House	2000
Under Hellgate Bridge	1999
Thomas in Love	2001
The Way of the Gun	2000
Mensaka	1998
The Importance of Being Earnest	2002
The Visit	2000
A Sign from God	2000
Beginner's Luck	2001
The Claim	2000
Kippur	2001
Unzipped	1995
The Rundown	2003
A Bullet for Pretty Boy	1970
The Butterfly Affair	1971
Kate & Leopold	2001
The Usual Suspects	1995
C.C. and Company	1970
The Last Place on Earth	2002
The Music Teacher	1989
Meet the Hollowheads	1989
Garaget	1975
Vampire in Brooklyn	1995
Cannon for Cordoba	1970
Captain Nemo and the Underwater City	1969
Carry On Loving	1970
Carry On up the Jungle	1970
Catch-22	1970
Memories of Me	1988
Venus Rising	1996
Change of Habit	1969
Messenger of Death	1988
Midnight Crossing	1988
Gunner Palace	2005
The Cheyenne Social Club	1970
Chisum	1970
The Christine Jorgensen Story	1970
The Nugget	2002
Attack from Mars	1988
Midnight Run	1988
Mielott befejezi roptet a denever	1989
The Viking Sagas	1995
Village of the Damned	1995
The Milagro Beanfield War	1988
Virtuosity	1995
Penny Dreadful	2006
Goldstein	1963
Miles From Home	1988
Mississippi Burning	1988
De Vliegende Hollander	1995
The Moderns	1988
The Computer Wore Tennis Shoes	1970
Monkey Shines: An Experiment in Fear	1988
Moon over Parador	1988
Moonwalker	1988
Voodoo	1995
The Voyeur	1994
The Conformist	1970
Highlander: Endgame	2000
Cotton Comes to Harlem	1970
Moving	1988
Mr. North	1988
Waiting to Exhale	1995
A Walk in the Clouds	1995
The Walking Dead	1995
Brotherly Love	1970
Cover Me Babe	1970
Women on the Verge of a Nervous Breakdown	1988
Murder One	1988
Waterworld	1995
Beau Travail	2000
Backyard Dogs	2000
Cromwell	1970
Cry Blood, Apache	1971
Cry of the Banshee	1970
My Best Friend Is a Vampire	1988
My Stepmother Is an Alien	1988
A Crude Awakening: The Oil Crash	2006
Mystic Pizza	1988
Freak Show	2000
Winter Passing	2006
102 Dalmatians	2000
Kingdom of Heaven	2005
Dude, Where's the Party?	2003
Eight Legged Freaks	2002
Underworld	2003
Beyond Vanilla	2003
Trigger Happy	1998
Kaldaljos	2004
Five Children and It	2004
The Abandoned	2007
Me Myself I	2000
The Covenant	2006
World Traveler	2002
Mission to Mars	2000
O Dia da caca	2000
FAQs	2006
Lagaan: Once Upon a Time in India	2001
Aberration	1997
Fat Albert	2004
The Long Run	2001
Warhead	1996
Up at the Villa	2000
My Mother Frank	2000
Artemisia	1998
Around the Fire	1999
Gator Bait	1974
Marine Life	2000
1900	1998
Sex with a Smile	1976
Me & Isaac Newton	2000
I Am Trying to Break Your Heart	2002
Bure Baruta	1999
Radio Freccia	1998
Welcome to the Dollhouse	1996
When Night Is Falling	1995
When Saturday Comes	1996
Darker than Amber	1970
Darling Lili	1970
Where Evil Lies	1995
While You Were Sleeping	1995
White Man's Burden	1995
Alice	1988
The Nest	1988
The Wife	1995
Wigstock: The Movie	1995
Wild Bill Hollywood Maverick	1996
Two Women in Gold	1970
3 Strikes	2000
Diary of a Mad Housewife	1970
Never on Tuesday	1989
A New Life	1988
Dirty Dingus Magee	1970
The Dirty Mind of Young Sally	1969
Doctor in Trouble	1970
The Night Before	1988
A Night in the Life of Jimmy Reardon	1988
Nightfall	1988
Lila Says	2005
The Limb Salesman	2004
Dorian Gray	1970
Welcome to Spring Break	1989
A Nightmare on Elm Street 4: The Dream Master	1988
The Dunwich Horror	1970
Not of this Earth	1988
Barenaked in America	2000
Cinema Paradiso	2002
Love Sick	2006
Chocolat	2001
Eliza's Horoscope	1975
Elvis: That's the Way It Is	1970
Off Limits	1988
Oliver & Company	1988
End of the Road	1970
Percy, Buffalo Bill & Me	2005
The Mostly Unfabulous Social Life of Ethan Green	2006
Finder's Fee	2001
Purpose	2002
Get Over It	2001
Fish Without a Bicycle	2004
Breaking Dawn	2004
Road to Perdition	2002
Go Further	2004
Mon-Rak Transistor	2002
Hate Crime	2006
Mariage	1974
Edge of Madness	2002
Across the Universe	2007
In the Realm of the Senses	1976
Blades of Glory	2007
Happy Feet	2006
S.W.A.T.	2003
Alex & the Gypsy	1976
Alice ou la Derniere Fugue	1977
All the President's Men	1976
Harold & Kumar Go to White Castle	2004
Allegro Non Troppo	1977
Ice Princess	2005
Taxi 4	2007
Yesterday Once More	2004
Saturday Night at the Baths	1975
The Amazing Dobermans	1976
The Amorous Adventures of Don Quixote and Sancho Panza	1976
Orfeu	2000
L'Amour Viol?	1977
1942: A Love Story	1994
3 Ninjas Kick Back	1994
Small Change	1976
Armaguedon	1978
Assault on Precinct 13	1976
Vijeta	1982
At the Earth's Core	1976
71 Fragmente Einer Chronologie des Zufalls	1994
Young Gods	2003
8 Seconds	1994
Cold Fever	1996
The Pavilion	1999
Double Parked	2000
Cherry	1999
Invincible	2006
Above the Rim	1994
Baby Blue Marine	1976
The Bad News Bears	1976
Baker's Hawk	1976
Ace Ventura: Pet Detective	1994
Vergiss Amerika	2000
The Secret Life of Algernon	1997
Pollock	2000
Cruel Intentions	1999
Barocco	1976
The Bawdy Adventures of Tom Jones	1976
About Adam	2001
Voleur De Vie	1998
Zora La Vampira	2000
Vive L'Amour	1994
The Air Up There	1994
Alaska.de	2000
Airheads	1994
Alegre Ma non Troppo	1994
Ringu 2	1999
Room To Rent	2000
Speak Like A Child	1998
Spider	2003
Amateur	1994
Ambar	1994
American Cyborg: Steel Warrior	1994
Straight Shooter	1999
3 A.M.	2001
Ali	2001
Entertaining Mr. Sloane	1970
Think Dirty	1970
The Farm: Life Inside Angola Prison	1998
Scarlet Diva	2000
Fashionably L.A.	1999
Out of the Dark	1989
The Outside Chance of Maximilian Glick	1990
Terror Firmer	1999
Figures in a Landscape	1970
Five Easy Pieces	1970
Flap	1970
Remedy	2005
Flesh Feast	1970
Fools	1970
Fragment of Fear	1970
Frankenstein Must Be Destroyed	1969
Paris by Night	1988
Pascali's Island	1988
Pass the Ammo	1988
Patti Rocks	1988
Patty Hearst	1988
Palais Royal!	2005
The Games	1970
The Penitent	1988
Clerks II	2006
Perfect Victims	1988
Permanent Record	1988
Claire's Knee	1970
Getting Straight	1970
Colorz of Rage	1998
Phantasm II	1988
Picasso Trigger	1988
Gimme Shelter	1970
Sideways	2004
Almost Brothers	2005
Platoon Leader	1988
Pledge Night	1990
Tuvalu	2001
Two Ninas	2001
Goodbye Gemini	1970
The Grasshopper	1970
The Great White Hope	1970
Head over Heels	2001
Little Sweetheart	1988
Unseen	1999
Poltergeist III	1988
A Very Unlucky Leprechaun	1998
Honest	2000
Pound Puppies and the Legend of Big Paw	1988
Powaqqatsi	1988
The Presidio	1988
Kick	1999
Extension du domaine de la lutte	1999
Yom Yom	1998
Made	2001
Happy Here and Now	2005
Florida City	2003
Scary Movie 2	2001
Fiasko	2000
Water Drops On Burning Rocks	2000
Marsal	2000
My Mother Likes Women	2004
Aankhen	2002
Going off Big Time	2001
The Gristle	2001
Joshua	2002
Julien Donkey-Boy	1999
The Jacket	2005
Lemming	2006
Jedna Ruka Netleska	2003
Keeping Up with the Steins	2006
The Big Bus	1976
Bittersweet Love	1976
Black Fist	1975
The Black Pearl	1977
Magnificat	1993
Black Samurai	1977
Black Shampoo	1976
The Blank Generation	1976
Beyond Heaven	2006
Martian Child	2007
Blue Sunshine	1977
Bobbie Jo and the Outlaw	1976
Restless	1998
Nanny McPhee	2006
Me and You and Everyone We Know	2005
Bound for Glory	1976
Breaking Point	1976
Buffalo Bill and the Indians	1976
Bugsy Malone	1976
Burnt Offerings	1976
Andre	1994
Angel of Destruction	1994
Angels in the Outfield	1994
Angie	1994
Cadaveri Eccellenti	1976
Floating	1999
Call Him Mr. Shatter	1975
Frat House	1998
Soul Survivors	2001
A.P.E.X.	1994
Car Wash	1976
The St. Francisville Experiment	2000
Carry On England	1976
The Ascent	1994
Intern	2000
Fellini's Casanova	1976
The Cassandra Crossing	1976
At Risk	1994
Hollywood Ending	2002
A Knight's Tale	2001
Who Needs Sleep?	2005
Baby's Day Out	1994
Babyfever	1994
P.O.V.	2006
Back in Action	1994
Backstreet Justice	1993
Bad Girls	1994
Welcome to Hollywood	1998
Gods of the Plague	1969
Halls of Anger	1970
Prime Evil	1988
The Prince of Pennsylvania	1988
Prison	1988
You Can Thank Me Later	1998
Strandvaskaren	2004
The Hawaiians	1970
Bobby Jones: Stroke of Genius	2004
Druids	2001
Hello-Goodbye	1970
Scared Sacred	2006
The Rough South of Larry Brown	2002
Hercules in New York	1970
Hi, Mom!	1970
Hoffman	1970
The Seductress	2000
Psycho Cop	1989
The Keys to the House	2004
Pulse	1988
Pumpkinhead	1988
Punchline	1988
The Noah	1975
Purple People Eater	1988
Shake Hands with the Devil: The Journey of Romeo Dallaire	2005
The Horror of Frankenstein	1970
Horror of the Blood Monsters	1971
House of Dark Shadows	1970
How Do I Love Thee?	1970
Aquarium	1988
Quelques Jours Avec Moi	1989
Tony 'n' Tina's Wedding	2007
Husbands	1970
Haut Les Coeurs!	1999
The Raggedy Rawney	1988
Code 46	2004
Rain Man	1988
Rambo III	1988
I Love My...Wife	1970
I Never Sang for My Father	1970
I Walk the Line	1970
Red Heat	1988
Connie and Carla	2004
Directed by Andrei Tarkovsky	1988
Impasse	1969
Indagine su un Cittadino al di Sopra di Ogni Sospetto	1970
Rejuvenatrix	1988
Surge of Power	2006
Rent-A-Cop	1988
Rented Lips	1988
Alfie	2004
Machine Gun McCain	1969
The Rescue	1988
Retribution	1988
Harry Potter and the Sorcerer's Stone	2001
Return of the Living Dead Part II	1988
Rikky and Pete	1987
Three of Hearts: A Postmodern Family	2005
Julie and the Cadillacs	1997
Knockaround Guys	2002
Devil at Your Heels	1981
The Luzhin Defence	2000
National Security	2003
KGB: The Secret War	1986
Cherry Hill High	1977
Clone	2000
Chinese Roulette	1976
La Chatte ? Deux T?tes	2003
Brother to Brother	2004
Career Bed	1972
Spanish Judges	1999
Millions	2005
Bandit Queen	1994
MirrorMask	2005
Da Zero a Dieci	2002
Bar Girls	1994
Barcelona	1994
Forbidden Choices	1994
Cria!	1976
You, Me and Dupree	2006
Beg!	1994
Deadly Hero	1976
Death Machines	1976
The Demon Lover	1977
Beverly Hills Cop III	1994
Taxi 2	2000
Say Goodnight	2008
Bigfoot: The Unforgettable Encounter	1994
Three Below Zero	1998
Black Beauty	1994
High Art	1998
Hedwig and the Angry Inch	2001
Blank Check	1994
Blankman	1994
The Joyriders	1999
Joe	1970
Touch the Sound	2005
White Noise	2005
Kelly's Heroes	1970
Hard Promises	1992
The Hard Way	1991
Harley Davidson and the Marlboro Man	1991
You and Your Stupid Mate	2005
King: A Filmed Record...Montgomery to Memphis	1970
Landscape After Battle	1970
Vento di Terra	2004
He Said, She Said	1991
Hear My Song	1991
Hearts of Darkness: A Filmmaker's Apocalypse	1991
The Kremlin Letter	1970
The Lady in the Car with Glasses and a Gun	1970
Land Raiders	1969
The Landlord	1970
The Last Grenade	1970
The Last Rebel	1971
The Last Valley	1971
Bad Company	1999
High Strung	1994
Highlander 2: The Quickening	1991
Highway 61	1992
The Lawyer	1970
Leo the Last	1969
Let It Be	1970
The Liberation of L.B. Jones	1970
The Wild Parrots of Telegraph Hill	2005
Hired to Kill	1990
The Hitman	1991
Homicide	1991
Little Big Man	1970
Little Fauss and Big Halsy	1970
In the City	2005
Voyager	1992
Cast Away	2000
Hook	1991
Hot Shots!	1991
Writer of O	2005
Hot Under the Collar	1991
House Party 2	1991
Hudson Hawk	1991
9 Sharp	1983
The Human Shield	1992
Hunting	1992
The First of May	1999
The Florentine	1999
Flypaper	1997
Love Me	2000
If Looks Could Kill	1991
Presence of Mind	2001
Killing Emmett Young	2002
Burnt Money	2001
About Schmidt	2003
The Devil's Playground	1976
Dixie Dynamite	1976
Cradle 2 the Grave	2003
Don's Party	1976
La Donna della Domenica	1975
Drive-In	1976
Drive-In Massacre	1976
Drum	1976
Blue Chips	1994
